State Action QValue
0010100 2 -0,6282324
1000010 4 -37,06881
1000010 3 -6,054985
1010012 0 -68,10381
0100010 3 0,6138721
0001011 4 -0,7043371
0001111 0 0,4864807
1000110 1 -6,930636
0001110 4 -0,315091
0001100 0 -17,15801
1100010 2 -57,61349
0001111 2 0,7763779
1010002 2 0,3934365
1000010 2 -13,69136
0010112 2 0,9977362
0100010 2 -56,91083
1010102 3 1,11159
1100012 4 0,7115266
1100012 0 -60,89718
1000111 3 1,710966
1100111 3 1,687317
0010100 0 -31,89411
1000111 1 0,965863
0001001 3 -66,16941
0010011 0 1,33662
1010011 4 0,7024124
1010012 4 0,8782741
0010100 1 -60,22153
0010112 3 1,125885
0101111 4 -0,1320425
0010112 0 0,7857589
0010112 1 -69,48756
0001101 4 -0,1591735
0010012 0 1,830245
0010012 1 -69,1299
1001012 1 0,2002417
0001101 0 -0,4692319
0110102 2 -49,69857
1010002 1 -55,66607
0100010 1 -33,96428
0101112 2 -51,85777
1100101 0 -63,21393
0010012 4 1,446625
1100102 4 1,263689
1100101 3 0,6979556
1100100 0 -35,16916
1001012 4 0,04733048
0010111 1 -69,61108
1001011 2 -1,810167
0010111 3 1,123786
1000110 3 2,032623
0001110 1 -0,1552064
0001110 0 -37,90974
1010101 0 -64,33018
1100012 1 0,6515563
1100012 3 1,097697
0010010 1 -71,94875
0010111 2 1,790511
0010111 4 0,866855
1001002 0 -65,286
0010112 4 0,7862404
0010011 1 -69,76778
1100000 4 -51,21657
0101102 4 0,363345
0101102 3 -68,03487
0110001 4 -0,8796245
0110000 0 -3,489833
0110001 0 0,1632413
1100000 0 -70,21407
0001002 4 1,113885
1010012 1 -68,44571
1000100 4 1,003554
0101110 2 -54,64717
0110101 3 -0,2522605
0011112 3 -67,06435
1010012 3 0,8572565
0110102 0 0,3649029
0110102 4 0,2889992
0110102 1 -50,02896
0110112 0 0,761696
0110112 3 0,8426528
0010010 2 -17,52635
0011112 4 1,029491
0011112 1 -68,66101
0010011 3 0,5391809
1001002 1 0,4627512
0010110 3 1,474777
0110001 3 0,4114081
1100000 3 -27,37638
1100002 2 -69,10445
1001012 2 0,1384368
0001001 0 0,8531942
